College,State,OutStateTuition,Type,MathSAT,VerbalSAT,PercAccepted,PercEnrolled,NumberFTUGs,NumberPTUGs,RoomBoardCosts,BookCosts,FacultyPhDs,StuFacRatio,Expenditure,GradRate,id
Alaska Pacific University,AK,7560,Private,6,6,0.756,0.377,249,869,4120,800,0.76,11.9,10922,0.15,1
Auburn University-Main Campus,AL,6300,Public,8,7,0.9,0.452,16262,1716,3933,600,0.85,16.7,6642,0.69,2
Birmingham-Southern College,AL,11660,Private,8,7,0.73,0.488,1376,207,4325,400,0.74,14,8649,0.72,3
Huntingdon College,AL,8080,Private,7,5,0.855,0.244,538,126,3920,500,0.63,11.4,7703,0.44,4
Spring Hill College,AL,11478,Private,7,6,0.898,0.331,942,224,4788,500,0.8,14.4,8594,0.7,5
Troy State University at Troy,AL,2883,Public,7,6,0.871,0.643,4343,990,2570,300,0.5,23,4295,0.48,6
University of Alabama at Huntsville,AL,4960,Public,7,6,0.695,0.465,2727,3394,3500,600,0.83,12.7,8863,0.38,7
Hendrix College,AR,8800,Private,8,7,0.876,0.38,954,6,3195,500,0.82,13.1,8588,0.63,8
John Brown University,AR,6398,Private,7,6,0.669,0.701,961,99,3672,400,0.68,13.3,8118,0.75,9
Harding University,AR,5504,Private,7,6,0.621,0.755,3128,213,3528,700,0.71,17.7,6466,0.73,10
Grand Canyon University,AZ,6870,Private,6,5,0.791,0.43,1364,454,3100,400,0.56,14.2,6219,0.81,11
Arizona State University Main campus,AZ,7434,Public,7,6,0.805,0.365,22593,7585,4850,700,0.88,18.9,4602,0.48,12
Northern Arizona University,AZ,6746,Public,6,5,0.837,0.4,11249,2682,3728,620,0.78,21.7,6157,0.41,13
University of Arizona,AZ,7434,Public,7,6,0.869,0.37,21664,4894,4216,620,0.91,19.6,9683,0.49,14
Biola University,CA,11388,Private,7,5,0.801,0.512,2058,111,4546,1000,0.67,16.6,9329,0.36,15
California Lutheran University,CA,12950,Private,6,5,0.439,1,1427,432,5300,612,0.72,12.4,8985,0.6,16
California State Univ. at Fullerton,CA,8990,Public,6,4,0.746,0.328,12147,6681,3476,600,0.88,19.9,6288,0.56,17
California Polytechnic-San Luis,CA,7380,Public,7,6,0.489,0.432,12911,1404,4877,612,0.72,19.8,8453,0.59,18
Humboldt State University,CA,9979,Public,7,6,0.632,0.258,5637,678,4200,600,0.8,16.4,8650,0.65,19
California State University at Sacramento,CA,9096,Public,6,5,0.696,0.408,13724,8161,4500,700,0.79,19.2,7530,0.47,20
San Diego State University,CA,8384,Public,6,4,0.747,0.306,16407,5550,5110,612,0.87,19.5,7930,0.41,21
San Francisco State University,CA,8964,Public,5,4,0.657,0.356,13165,5937,6776,630,0.75,17.4,7651,0.55,22
San Jose State University,CA,8820,Public,6,4,0.786,0.347,14392,7263,4224,350,0.72,17.4,5957,0.46,23
Sonoma State University,CA,7830,Public,6,6,0.36,0.567,4239,1259,5189,610,0.79,16.1,7304,0.4,24
United States International University,CA,11760,Private,6,5,0.522,0.304,237,67,4225,630,0.9,15.7,10317,0.23,25
Chapman University,CA,16624,Private,7,6,0.804,0.455,1662,209,5895,600,0.72,12.8,12692,0.47,26
Claremont McKenna College,CA,17000,Private,10,9,0.412,0.296,887,1,6010,500,0.99,9.6,18443,0.87,27
Harvey Mudd College,CA,17230,Private,11,9,0.415,0.311,654,5,6690,700,1,8.2,21569,1,28
Pitzer College,CA,17688,Private,8,8,0.556,0.349,750,30,5900,650,1,10.4,14820,0.73,29
Scripps College,CA,17238,Private,8,8,0.739,0.22,569,7,7350,600,0.95,8.2,18372,0.73,30
Holy Names College,CA,11480,Private,6,5,0.609,0.274,273,317,5280,630,0.75,7.8,10362,0.44,31
Dominican College of San Rafael,CA,12790,Private,6,5,0.812,0.434,648,150,6100,650,0.56,11.6,8966,0.5,32
La Sierra University,CA,12180,Private,6,5,0.804,0.613,1067,268,3885,683,0.69,12.6,8294,0.49,33
University of La Verne,CA,13540,Private,6,5,0.607,0.233,1431,1522,5050,630,0.66,14.1,10139,0.47,34
Mount St. Mary's College,CA,12474,Private,7,6,0.817,0.21,1039,466,5678,630,0.53,11.9,10613,0.72,35
Occidental College,CA,16560,Private,8,7,0.568,0.281,1686,35,5140,558,0.91,10.5,16196,0.79,36
Pacific Christian College,CA,6500,Private,6,5,0.85,0.627,414,165,3000,500,0.38,10.7,5612,0.67,37
Fresno Pacific College,CA,9900,Private,7,6,0.792,0.533,704,63,3670,630,0.59,10.5,8095,0.54,38
Point Loma Nazarene College,CA,10178,Private,6,5,0.849,0.623,1889,217,4190,800,0.71,16.1,7895,0.54,39
Pepperdine University,CA,18200,Private,8,7,0.533,0.334,2488,625,6770,500,0.95,11.6,16185,0.66,40
Southern California College,CA,9520,Private,6,5,0.883,0.568,784,127,4124,630,0.63,18.6,8219,0.43,41
St. Mary's College of California,CA,13332,Private,7,6,0.61,0.289,2615,248,6354,630,0.88,16.1,9619,0.78,42
University of California at Berkeley,CA,11648,Public,10,8,0.415,0.39,19532,2061,6246,636,0.93,15.8,13919,0.78,43
University of California at Irvine,CA,12024,Public,8,6,0.686,0.23,12677,864,5302,790,0.96,16.1,15934,0.66,44
University of California at Los Angeles,CA,7689,Public,9,7,0.471,0.344,21637,1255,5580,850,0.97,11.8,20260,0.77,45
University of California at Riverside,CA,7699,Public,7,5,0.772,0.194,6922,265,5430,780,0.98,13.4,12528,0.62,46
University of California at San Diego,CA,7699,Public,9,7,0.59,0.216,13738,711,6607,630,1,13.9,17674,0.66,47
University of California at Santa Barbara,CA,11218,Public,7,6,0.849,0.229,15638,693,5990,630,0.96,18.9,9475,0.69,48
University of California at Santa Cruz,CA,7699,Public,8,7,0.796,0.201,8713,607,6081,633,0.94,21.3,10860,0.59,49
University of San Francisco,CA,13226,Private,7,6,0.746,0.313,4309,549,6452,750,0.86,13.6,10074,0.62,50
University of Southern California,CA,17230,Private,8,6,0.695,0.291,13259,1429,6482,600,0.9,11.4,17007,0.68,51
University of the Pacific,CA,16320,Private,7,5,0.812,0.291,2664,299,5326,646,0.87,11.2,13706,0.65,52
Westmont College,CA,14320,Public,8,7,0.751,0.492,1276,9,5304,490,0.77,14.9,8837,0.87,53
Whittier College,CA,16249,Private,7,6,0.636,0.322,1235,30,5699,500,0.84,13.6,11778,0.52,54
Woodbury University,CA,13020,Private,5,4,0.897,0.355,765,191,5490,900,0.28,13.5,6944,0.54,55
University of Judaism,CA,10560,Private,8,6,0.692,0.5,88,12,6200,825,1,7.2,31012,0.55,56
University of San Diego,CA,13600,Private,7,6,0.695,0.324,3698,217,5940,630,0.93,15.6,10813,0.66,57
Loyola Marymount University,CA,13592,Private,7,6,0.706,0.283,3558,436,5916,545,0.84,14.2,11677,0.84,58
Concordia University,CA,10800,Private,6,5,0.722,0.29,641,101,4440,570,0.55,13.1,8415,0.55,59
University of Northern Colorado,CO,7731,Public,6,5,0.725,0.424,8463,1498,4128,540,0.75,21.5,6309,0.4,60
Colorado State University,CO,8412,Public,7,6,0.666,0.348,15646,1829,4180,470,0.87,19.2,7850,0.59,61
Mesa State College,CO,5016,Public,6,5,0.919,0.612,3471,911,3798,540,0.48,28.8,3871,0.59,62
University of Southern Colorado,CO,7100,Public,6,5,0.884,0.488,3716,675,4380,540,0.63,19.4,5389,0.36,63
University of Denver,CO,15192,Private,7,6,0.673,0.29,2666,554,4695,400,0.84,15.9,11762,0.67,64
Western State College of Colorado,CO,5918,Public,6,5,0.601,0.372,2315,146,3755,500,0.76,19.4,4599,0.52,65
Albertus Magnus College,CT,13290,Private,6,5,0.963,0.303,416,230,5720,500,0.9,11.5,8861,0.63,66
Central Connecticut State University,CT,5962,Public,6,5,0.609,0.356,6394,3881,4444,500,0.69,16.7,4900,0.49,67
Fairfield University,CT,15000,Private,8,6,0.699,0.233,2984,1037,6200,700,0.86,15.1,11220,0.94,68
University of New Haven,CT,10600,Private,6,5,0.855,0.238,1411,1914,5020,500,0.79,15.6,7033,0.79,69
Sacred Heart University,CT,11070,Private,6,5,0.822,0.268,1707,1889,5780,400,0.71,14.8,7120,0.82,70
Southern Connecticut State University,CT,5962,Public,5,5,0.688,0.394,5892,2478,4796,700,0.62,15.8,5245,0.45,71
University of Hartford,CT,14220,Private,7,6,0.795,0.296,3768,1415,6000,500,0.61,10.7,10625,0.66,72
Wesleyan University,CT,19130,Private,10,9,0.413,0.361,2714,27,5600,1400,0.9,12.1,16262,0.92,73
Eastern Connecticut State University,CT,5962,Public,5,5,0.687,0.378,2766,1531,4316,650,0.71,16.9,5719,0.5,74
University of Connecticut at Storrs,CT,11656,Public,8,6,0.738,0.287,12478,1660,5072,700,0.89,16,10178,0.71,75
Howard University,DC,7128,Private,6,5,0.324,0.527,6705,874,3750,300,0.78,7.5,18287,0.46,76
Trinity College,DC,11412,Private,6,6,0.765,0.529,309,639,6430,500,0.89,8.3,11806,0.96,77
Goldey Beacom College,DE,6120,Private,6,5,0.739,0.607,823,963,2985,531,0.25,27.6,6081,0.36,78
Wesley College,DE,9890,Private,5,4,0.823,0.434,872,448,4674,500,0.52,14.4,6243,0.84,79
Barry University,FL,11290,Private,6,5,0.792,0.356,1811,3144,5360,600,0.76,12.6,9084,0.72,80
Bethune Cookman College,FL,5188,Private,5,4,0.699,0.471,2128,82,3396,650,0.48,13.8,6817,0.58,81
Florida Institute of Technology,FL,13900,Private,8,7,0.812,0.331,1863,233,4140,750,0.9,10.6,8923,0.57,82
Embry Riddle Aeronautical University,FL,7800,Private,7,6,0.82,0.371,4772,856,3750,570,0.37,16.5,12878,0.44,83
Florida Atlantic University,FL,6700,Public,7,6,0.657,0.395,6035,6414,4060,600,0.9,15.6,8717,0.48,84
Eckerd College,FL,15360,Private,8,7,0.78,0.33,1363,23,4080,600,0.82,12.8,15003,0.59,85
Florida Southern College,FL,8025,Private,7,6,0.753,0.36,1506,970,4865,400,0.65,17.4,6339,0.68,86
Lynn University,FL,13900,Private,6,5,0.74,0.329,1250,200,5600,400,0.69,19,12614,0.65,87
Nova Southeastern University,FL,8550,Private,6,5,0.751,0.334,1893,1220,4740,720,0.9,20.4,12523,0.23,88
Rollins College,FL,16425,Private,8,7,0.648,0.332,1668,1052,5220,955,0.81,13.3,11561,0.9,89
University of South Florida,FL,6760,Public,8,6,0.616,0.401,14770,10962,3776,500,0.84,17,11020,0.47,90
Webber College,FL,5590,Private,4,5,0.511,0.552,327,110,2900,650,0.53,15.1,4839,0.9,91
University of Central Florida,FL,6618,Public,7,6,0.424,0.648,12330,7152,4234,700,0.8,22.2,6742,0.46,92
University of West Florida,FL,6172,Public,6,6,0.805,0.376,3754,2477,3994,541,0.83,23.4,8488,0.53,93
Flagler College,FL,5120,Private,7,6,0.505,0.473,1345,44,3200,500,0.52,18.1,3930,0.69,94
Warner Southern College,FL,6200,Private,5,4,0.7,0.479,397,62,3270,320,0.53,14.4,7774,0.42,95
Florida International University,FL,6597,Public,7,6,0.629,0.515,10208,9310,2494,800,0.81,13.9,6722,0.66,96
University of North Florida,FL,6634,Public,7,6,0.696,0.447,3876,3588,4360,600,0.82,17.8,6104,0.47,97
Armstrong State College,GA,5604,Public,6,5,0.839,0.688,2796,2391,4192,450,0.45,10.5,5667,0.88,98
Clark Atlanta University,GA,7908,Private,5,5,0.555,0.316,2844,88,4238,600,0.63,14.9,9345,0.53,99
Brenau University,GA,9592,Private,6,6,0.747,0.577,917,479,5879,500,0.71,13.7,5935,0.49,100
Brewton-Parker College,GA,4371,Private,4,4,0.855,0.979,1320,822,2370,500,0.62,12.6,4900,0.18,101
Columbus College,GA,2763,Public,6,5,0.779,0.737,2873,1736,3375,800,0.61,16.5,5332,0.32,102
Emory University,GA,17600,Private,10,8,0.49,0.297,5544,192,6000,600,0.97,5,28457,0.96,103
Southern College of Technology,GA,4023,Public,7,5,0.771,0.59,2229,1283,3219,465,0.52,17.3,6208,0.36,104
Georgia Southern University,GA,4571,Public,5,4,0.647,0.559,11404,1007,2987,450,0.6,19.7,4830,0.46,105
LaGrange College,GA,6987,Private,5,5,0.733,0.444,600,363,3585,750,0.77,12.5,9067,0.75,106
Mercer University,GA,11985,Private,7,6,0.73,0.338,2943,1260,4081,400,0.93,9.2,8995,0.91,107
Morehouse College,GA,7050,Private,7,6,0.453,0.43,2852,153,5490,250,0.71,17.8,8122,0.83,108
Oglethorpe University,GA,12900,Private,8,7,0.819,0.287,769,377,4340,600,0.91,13.1,8568,0.67,109
Piedmont College,GA,5640,Private,6,6,0.848,0.226,641,63,3620,600,0.89,13.2,7309,0.31,110
Spelman College,GA,7000,Private,7,6,0.333,0.358,1971,107,5565,660,0.73,12.5,9988,0.65,111
University of Georgia,GA,5697,Public,8,7,0.702,0.422,19553,2748,3600,525,0.88,14.7,7881,0.63,112
Valdosta State University,GA,4617,Public,5,4,0.884,0.488,5982,1418,2940,600,0.67,20,5374,0.45,113
Wesleyan College,GA,11500,Private,6,7,0.941,0.38,382,46,4500,515,0.68,7.6,11605,0.52,114
West Georgia College,GA,4650,Public,6,5,0.71,0.511,4538,1179,2973,490,0.59,19.2,5687,0.4,115
Georgia College,GA,4457,Public,5,4,0.957,0.464,3467,1167,2739,450,0.7,21.4,4706,0.52,116
Covenant College,GA,9700,Private,7,7,0.779,0.571,468,31,3744,470,0.73,19,8614,0.56,117
Savannah Coll. of Art and Design,GA,8325,Private,7,6,0.62,0.561,1897,208,5000,1200,0.14,16.1,6874,0.55,118
University of Hawaii at Manoa,HI,4460,Public,7,5,0.727,0.625,11028,2411,3038,687,0.85,11.8,12833,0.54,119
University of Hawaii at Hilo,HI,2920,Public,5,5,0.52,0.642,2082,871,4270,714,0.72,15.8,11460,0.31,120
Briar Cliff College,IA,10260,Private,5,4,0.895,0.442,738,430,3597,600,0.39,13.1,8355,0.58,121
Buena Vista College,IA,13306,Private,7,6,0.8,0.414,1928,442,3797,450,0.62,8.8,6333,0.78,122
Coe College,IA,13925,Private,8,7,0.738,0.371,1127,205,4390,500,0.73,12.7,10141,0.67,123
Cornell College,IA,15248,Private,8,7,0.864,0.288,1140,10,4323,550,0.71,12.2,10340,0.64,124
Drake University,IA,13420,Private,7,6,0.919,0.326,3322,726,4770,560,0.88,15,9473,0.77,125
Graceland College,IA,9100,Private,7,5,0.746,0.585,996,2281,3100,550,0.51,23.6,5609,0.47,126
Grinnell College,IA,15688,Private,9,9,0.681,0.311,1333,30,4618,400,0.88,9.5,18979,0.83,127
Luther College,IA,13240,Private,8,7,0.899,0.422,2269,85,3560,600,0.73,13.8,8949,0.77,128
University of Dubuque,IA,10430,Private,6,5,0.969,0.246,662,131,3620,400,0.85,16.5,8767,0.45,129
Wartburg College,IA,11600,Private,8,6,0.872,0.321,1295,105,3610,400,0.66,12.4,7735,0.67,130
Boise State University,ID,2093,Public,6,5,0.851,0.613,7948,5040,3069,600,0.59,17,5705,0.25,131
Albertson College,ID,13500,Private,7,6,0.816,0.33,678,41,3335,500,0.67,9.4,9727,0.55,132
Lewis-Clark State College,ID,5120,Public,5,4,0.55,0.777,1970,1256,3190,908,0.6,12.1,6997,0.44,133
University of Idaho,ID,5962,Public,7,6,0.893,0.478,7242,1431,3540,832,0.82,13.5,8805,0.45,134
Bradley University,IL,10870,Private,8,7,0.906,0.311,4531,643,4440,2000,0.75,14.4,7671,0.85,135
DePaul University,IL,11214,Private,8,7,0.737,0.346,6069,3719,4932,600,0.69,16.1,8322,0.63,136
Illinois College,IL,8050,Private,7,6,0.88,0.333,909,28,3850,600,0.75,15.6,7348,0.52,137
Illinois Institute of Technology,IL,14550,Private,9,6,0.774,0.351,1911,626,4620,500,0.8,12.3,12851,0.56,138
Illinois Wesleyan University,IL,14360,Private,9,7,0.44,0.351,1818,23,4090,400,0.77,12.9,9605,0.83,139
Kendall College,IL,6900,Private,5,6,1,0.807,338,33,4851,800,0.24,15.9,8812,0.8,140
Knox College,IL,15747,Private,8,7,0.812,0.338,967,24,4062,400,0.88,12.7,13224,0.79,141
Loyola University Chicago,IL,11500,Private,7,6,0.827,0.293,5244,3417,5330,700,0.94,6.2,13009,0.65,142
Millikin University,IL,11910,Private,7,7,0.873,0.362,1788,95,4378,450,0.6,11.4,8149,0.75,143
Monmouth College,IL,13000,Private,6,6,0.837,0.406,671,11,4100,400,0.91,11.6,11087,0.56,144
North Central College,IL,11718,Private,8,6,0.784,0.348,1310,766,7398,450,0.73,16.4,8871,0.76,145
North Park College,IL,12580,Private,7,6,0.776,0.488,879,156,4345,400,0.76,13.1,10889,0.74,146
Northwestern University,IL,16404,Private,10,9,0.423,0.366,7450,45,5520,759,0.96,6.8,26385,0.92,147
Quincy University,IL,10100,Private,7,6,0.69,0.42,1070,72,4140,450,0.69,16.3,6880,0.8,148
University of Illinois - Urbana,IL,7560,Public,9,7,0.78,0.49,25422,911,4574,500,0.87,17.4,8559,0.81,149
Anderson University,IN,10100,Private,6,5,0.747,0.466,1819,281,3520,550,0.48,12.1,7994,0.59,150
Ball State University,IN,7244,Public,6,5,0.845,0.487,16148,2207,3608,500,0.69,17.7,7449,0.51,151
Butler University,IN,13130,Private,7,6,0.862,0.344,2607,148,4650,500,0.77,10.9,9511,0.83,152
Earlham College,IN,15036,Private,8,8,0.741,0.272,1028,13,4056,600,0.9,10.6,14634,0.78,153
University of Evansville,IN,11800,Private,7,6,0.776,0.427,2551,407,4340,700,0.6,15.8,7780,0.77,154
Franklin College,IN,10390,Private,7,6,0.786,0.445,840,68,4040,525,0.54,12.5,11751,0.6,155
Goshen College,IN,9420,Private,7,6,0.9,0.558,910,166,3730,600,0.51,9.9,10270,0.72,156
Hanover College,IN,8200,Private,7,6,0.832,0.379,1024,15,3485,500,0.84,10.6,9248,0.64,157
Huntington College,IN,9950,Private,6,5,0.956,0.291,488,43,3920,300,0.76,11.8,9466,0.47,158
University of Indianapolis,IN,11120,Private,6,5,0.858,0.304,1417,1646,4080,525,0.55,11.1,6735,0.69,159
University of Southern Indiana,IN,4973,Public,5,4,0.897,0.606,4283,2973,3192,500,0.56,22,4078,0.38,160
Indiana University at Bloomington,IN,9766,Public,7,6,0.798,0.443,24763,2717,3990,600,0.77,21.3,8686,0.68,161
Manchester College,IN,10440,Private,7,5,0.799,0.298,909,51,3850,525,0.63,11.8,7940,0.64,162
Marian College,IN,9990,Private,6,5,0.704,0.439,923,427,3822,450,0.38,10.4,7799,0.61,163
Indiana Wesleyan University,IN,9210,Private,6,5,0.576,0.865,2448,707,3782,700,0.49,39.8,6562,0.34,164
Purdue University at West Lafayette,IN,9556,Public,7,6,0.86,0.313,26213,4065,3990,570,0.86,18.2,8604,0.67,165
Saint Francis College,IN,8670,Private,6,5,0.779,0.512,513,247,3820,450,0.43,12.5,7440,0.48,166
Saint Joseph's College,IN,11200,Private,6,5,0.743,0.329,815,222,4250,600,0.55,14.8,7360,0.67,167
Saint Mary-of-the-Woods College,IN,10300,Private,5,4,0.867,0.677,341,768,4130,500,0.44,10.2,9678,0.75,168
Saint Mary's College,IN,12730,Private,7,6,0.827,0.535,1433,27,4514,500,0.74,9.9,11165,0.98,169
Taylor University,IN,10965,Private,8,7,0.617,0.4,1757,81,4000,450,0.6,14.2,8294,0.98,170
Tri-State University,IN,9456,Private,7,5,0.873,0.25,978,98,4350,468,0.53,12.8,7603,0.65,171
University of Notre Dame,IN,16850,Private,10,8,0.481,0.515,7671,30,4400,600,0.96,13.1,13936,0.97,172
Indiana State University,IN,6892,Public,5,4,0.841,0.661,8596,1949,3706,600,0.72,16.6,6996,0.4,173
Sterling College,KS,8280,Private,5,5,0.779,0.34,631,133,3260,500,0.5,16.1,10049,0.36,174
Bellarmine College,KY,8840,Private,7,6,0.876,0.436,1198,605,2950,750,0.74,13.1,6668,0.84,175
Centre College,KY,11850,Private,8,7,0.877,0.324,943,7,4270,600,0.95,11.4,13118,0.74,176
Cumberland College,KY,6230,Private,6,5,0.793,0.504,1306,122,3526,400,0.42,13,8189,0.63,177
Kentucky Wesleyan College,KY,8000,Private,6,5,0.851,0.352,662,121,4150,500,0.57,11.3,7058,0.62,178
Transylvania University,KY,10900,Private,8,7,0.96,0.335,867,51,4450,500,0.81,12.1,10219,0.7,179
Union College,KY,7800,Private,5,4,0.793,0.461,634,78,2950,500,0.6,14.1,6864,0.64,180
Thomas More College,KY,9490,Private,7,6,0.735,0.367,756,502,3892,400,0.65,10.5,7678,0.66,181
Centenary College of Louisiana,LA,8950,Private,8,7,0.877,0.484,775,44,3490,600,0.86,11.3,9685,0.66,182
Louisiana State University at Baton Rouge,LA,5925,Public,7,6,0.833,0.617,16269,3757,2980,600,0.83,15.9,6741,0.37,183
University of New Orleans,LA,5154,Public,7,5,0.889,0.702,8158,3643,3116,800,0.75,17.9,5260,0.19,184
Loyola University,LA,11100,Private,7,7,0.898,0.423,2740,761,5870,600,0.77,11.7,9456,0.53,185
Xavier University of Louisiana,LA,6900,Private,6,5,0.913,0.363,2793,166,4200,617,0.67,14.4,8323,0.49,186
Amherst College,MA,19760,Private,10,9,0.231,0.421,1593,5,5300,660,0.93,8.4,21424,1,187
Merrimack College,MA,12500,Private,7,6,0.778,0.334,1927,1084,6200,375,0.73,16.8,8707,0.8,188
Boston University,MA,18420,Private,9,8,0.644,0.293,14971,3113,6810,475,0.8,11.9,16836,0.72,189
Elms College,MA,11800,Private,6,5,0.849,0.601,544,436,4765,450,0.71,11.3,8952,0.86,190
College of the Holy Cross,MA,18000,Private,9,8,0.565,0.39,2675,22,6300,400,0.92,11.3,12138,0.95,191
Curry College,MA,13600,Private,5,4,0.765,0.302,891,332,5450,600,0.39,8.7,11992,0.58,192
Eastern Nazarene College,MA,8770,Private,7,6,0.793,0.489,1238,30,3500,450,0.58,17.3,6430,0.7,193
Gordon College,MA,12200,Private,7,6,0.838,0.499,1151,39,4070,400,0.73,14.2,9226,0.66,194
Lesley College,MA,11700,Private,5,5,0.811,0.414,1134,336,5300,550,0.71,27.8,8694,0.58,195
University of Massachusetts at Lowell,MA,9838,Public,7,5,0.759,0.361,5740,4182,4164,500,0.81,16.1,7607,0.53,196
Massachusetts Institute of Technology,MA,20100,Private,11,9,0.334,0.504,4481,28,5975,725,0.99,10.1,33541,0.94,197
Bridgewater State College,MA,5542,Public,6,5,0.68,0.319,5356,1502,3991,500,0.73,17.1,4666,0.51,198
North Adams State College,MA,5542,Public,6,5,0.643,0.239,1380,136,4330,500,0.65,14.2,6562,0.57,199
Salem State College,MA,5542,Public,5,4,0.797,0.421,5625,3416,3514,375,0.55,21,4386,0.45,200
Westfield State College,MA,5542,Public,6,5,0.694,0.384,3234,941,3788,500,0.75,15.7,4222,0.65,201
Worcester State College,MA,6797,Public,5,5,0.69,0.358,3089,2029,3900,500,0.6,21,4469,0.4,202
Mount Holyoke College,MA,19300,Private,8,7,0.73,0.4,1891,40,5700,750,0.79,9,18359,0.84,203
Northeastern University,MA,13380,Private,7,6,0.714,0.296,11160,10221,7425,600,0.73,12.9,9563,0.46,204
Pine Manor College,MA,15190,Private,4,4,0.912,0.387,372,28,6480,400,0.46,8.9,14795,0.67,205
Regis College,MA,12700,Private,6,5,0.902,0.371,581,533,5800,450,0.81,10.3,11758,0.84,206
Simmons College,MA,16160,Private,6,6,0.78,0.377,1144,160,6950,500,0.74,8.9,14086,0.79,207
University of Massachusetts at Dartmouth,MA,6919,Public,6,5,0.776,0.387,4664,1630,4500,500,0.74,15,7462,0.56,208
Stonehill College,MA,12170,Private,7,6,0.631,0.254,2022,926,6172,480,0.79,13,7495,0.97,209
Wellesley College,MA,18345,Private,9,9,0.431,0.464,2195,156,5995,500,0.94,10.6,21409,0.91,210
Western New England College,MA,8994,Private,5,4,0.892,0.278,1803,1116,5500,498,0.74,15.4,8409,0.59,211
Wheaton College,MA,18460,Private,8,7,0.79,0.304,1335,30,5970,700,0.92,13.2,22704,0.71,212
