College,State,OutStateTuition,Type,MathSAT,VerbalSAT,PercAccepted,PercEnrolled,NumberFTUGs,NumberPTUGs,RoomBoardCosts,BookCosts,FacultyPhDs,StuFacRatio,Expenditure,GradRate,id
Muskingum College,OH,13240,Private,6,5,0.831,0.407,1115,70,3914,600,0.73,13.4,9333,0.73,426
Oberlin College,OH,19670,Private,9,8,0.579,0.245,2587,120,5820,575,0.77,10.1,16593,0.83,427
Ohio Northern University,OH,15990,Private,7,6,0.798,0.286,2502,66,4080,600,0.73,14.5,9979,0.83,428
Ohio University,OH,7629,Public,7,6,0.753,0.384,14861,1310,4095,550,0.79,20.4,8811,0.64,429
Ohio Wesleyan University,OH,16732,Private,8,7,0.776,0.269,1780,48,5650,550,0.93,12.1,12011,0.75,430
Tiffin University,OH,7600,Private,4,3,0.869,0.346,662,351,3800,600,0.59,19,5096,0.39,431
University of Akron,OH,7650,Public,6,5,0.823,0.619,12487,9295,3844,550,0.71,16.7,6025,0.43,432
University of Cincinnati,OH,8907,Public,7,6,0.81,0.434,11036,2011,4697,556,0.89,10.8,13889,0.54,433
University of Dayton,OH,11380,Private,8,7,0.832,0.285,5889,665,4220,500,0.81,14.8,8894,0.93,434
University of Toledo,OH,7441,Public,7,5,0.969,0.516,15428,5370,3719,550,0.81,20.4,6124,0.48,435
Ursuline College,OH,9600,Private,5,5,0.8,0.331,699,717,4202,450,0.39,10.5,7164,0.68,436
Wittenberg University,OH,15948,Private,8,7,0.879,0.331,1980,144,4404,400,0.82,12.8,10414,0.78,437
Xavier University,OH,11520,Private,7,6,0.921,0.385,2849,1107,4960,600,0.73,13.3,9189,0.83,438
Antioch University,OH,15476,Private,7,7,0.927,0.381,712,23,3336,400,0.69,11.3,42926,0.48,439
Oklahoma Christian University,OK,6400,Private,6,5,0.986,0.459,1419,228,3150,500,0.58,16.2,6578,0.45,440
Oklahoma State University,OK,5336,Public,7,6,0.865,0.557,12830,1658,3344,800,0.84,15.3,6433,0.48,441
Phillips University,OK,10500,Private,6,5,0.832,0.302,597,83,3860,600,0.58,11.6,8990,0.39,442
University of Tulsa,OK,11750,Private,8,7,0.909,0.447,2936,433,4160,1200,0.94,11.5,11743,0.47,443
Oral Roberts University,OK,7950,Private,7,6,0.531,0.972,2645,167,3994,480,0.51,15.5,7885,0.45,444
Western Baptist College,OR,9200,Private,5,5,0.846,0.539,513,23,4000,375,0.23,16.8,7269,0.51,445
Concordia College,OR,9600,Private,6,5,0.689,0.393,811,206,3150,500,0.56,14.3,5976,0.41,446
George Fox College,OR,12500,Private,6,6,0.897,0.405,1271,43,4130,400,0.53,13.5,7136,0.52,447
Linfield College,OR,13380,Private,8,6,0.761,0.386,1548,840,4210,500,0.89,17.8,8747,0.81,448
Oregon State University,OR,7890,Public,7,5,0.844,0.415,10332,929,3444,543,0.88,13.9,9383,0.45,449
Oregon Institute of Technology,OR,8676,Public,6,5,0.91,0.606,1774,809,3560,750,0.2,14.7,7556,0.41,450
Pacific University,OR,14210,Private,7,6,0.9,0.339,1041,35,3994,450,0.76,10.9,11216,0.42,451
Reed College,OR,19960,Private,9,9,0.73,0.228,1199,61,5490,500,0.9,11.8,15886,0.68,452
University of Portland,OR,12040,Private,7,6,0.845,0.282,2041,174,4100,600,0.92,13.2,9060,0.72,453
Warner Pacific College,OR,7940,Private,6,5,0.777,0.609,503,91,4032,450,0.39,12.9,7516,0.29,454
Willamette University,OR,14800,Private,8,7,0.8,0.298,1595,159,4620,400,0.91,13.3,10779,0.68,455
Albright College,PA,15595,Private,7,6,0.808,0.271,973,306,4400,300,0.79,11.3,11644,0.8,456
Beaver College,PA,12850,Private,7,6,0.731,0.409,878,519,5400,400,0.78,12.2,8954,0.73,457
Bryn Mawr College,PA,18165,Private,9,9,0.553,0.386,1088,16,6750,500,1,12.3,17449,0.89,458
Cabrini College,PA,10518,Private,5,5,0.825,0.453,1035,446,6250,300,0.59,16.5,7117,0.71,459
Carnegie Mellon University,PA,17900,Private,10,8,0.596,0.229,4265,291,5690,450,0.86,9.2,24386,0.74,460
Cedar Crest College,PA,14340,Private,6,6,0.782,0.326,791,764,5285,500,0.58,11.7,10961,0.74,461
Chatham College,PA,13500,Private,6,6,0.929,0.462,471,148,5230,400,0.95,9.3,16095,0.52,462
Chestnut Hill College,PA,10335,Private,6,6,0.743,0.496,518,232,5015,700,0.71,8.3,7729,0.73,463
Eastern College,PA,11190,Private,6,6,0.806,0.447,1057,355,4800,450,0.6,13.6,8135,0.54,464
Elizabethtown College,PA,14190,Private,7,6,0.763,0.231,1476,299,4400,500,0.65,12.8,9815,0.81,465
Gannon University,PA,10970,Private,7,6,0.774,0.355,2693,691,4280,500,0.47,13.3,7711,0.65,466
Geneva College,PA,9476,Private,7,6,0.799,0.444,1306,258,4820,500,0.67,20.1,6786,0.74,467
Grove City College,PA,5224,Private,9,7,0.446,0.516,2213,35,3048,525,0.65,18.4,4957,1,468
Gwynedd Mercy College,PA,11000,Private,7,6,0.624,0.439,716,1108,5550,500,0.36,7.8,7483,0.96,469
Immaculata College,PA,10000,Private,5,5,0.944,0.407,494,1305,5364,500,0.56,11.2,7305,0.69,470
Indiana University of Pennsylvania,PA,7352,Public,6,5,0.512,0.498,11375,1132,2906,500,0.77,20.6,6760,0.63,471
Juniata College,PA,14850,Private,8,7,0.855,0.347,1075,43,4460,450,0.97,12.7,12067,0.8,472
King's College,PA,10910,Private,7,6,0.723,0.362,500,541,5160,400,0.66,15.6,7649,0.87,473
La Salle University,PA,12600,Private,7,7,0.626,0.339,2738,1662,5610,450,0.9,15.1,9084,0.84,474
Lebanon Valley College,PA,13850,Private,7,6,0.765,0.302,965,502,4755,400,0.84,12.3,8196,0.85,475
Lincoln University,PA,4818,Public,4,4,0.657,0.299,1196,33,3400,350,0.71,12.6,10912,0.45,476
Lycoming College,PA,13900,Private,6,6,0.781,0.361,1363,74,4300,500,0.75,14,8024,0.72,477
Marywood College,PA,11040,Private,6,5,0.776,0.376,1452,402,4500,600,0.65,11.8,9034,0.66,478
Messiah College,PA,10300,Private,8,7,0.793,0.439,2258,53,5080,475,0.68,14.1,7762,0.89,479
Muhlenberg College,PA,16975,Private,8,7,0.729,0.252,1656,352,4565,600,0.76,12.8,10888,0.83,480
Widener University,PA,12350,Private,7,6,0.698,0.336,2186,2171,5370,500,0.88,12.6,9603,0.63,481
Bloomsburg Univ. of Pennsylvania,PA,7844,Public,7,6,0.447,0.339,5847,946,2948,500,0.66,18,7041,0.75,482
Kutztown University of Penn.,PA,8285,Public,6,6,0.483,0.4,5866,918,2970,500,0.58,19.4,6552,0.57,483
Lock Haven University of Pennsylvania,PA,7352,Public,7,6,0.62,0.294,3390,325,3620,225,0.47,16.1,6374,0.63,484
Millersville University of Penn.,PA,7844,Public,7,6,0.512,0.312,5146,1532,3830,450,0.72,16.8,7832,0.71,485
Shippensburg University of Penn.,PA,7844,Public,7,6,0.564,0.34,5268,300,3504,450,0.8,18.8,6719,0.72,486
West Chester University of Penn.,PA,7844,Public,6,6,0.544,0.388,7484,1904,4108,400,0.76,15.3,6773,0.52,487
University of the Arts,PA,12520,Private,6,5,0.723,0.412,1145,39,3860,1300,0.16,7.5,11641,0.57,488
Philadelphia Coll. of Textiles and Sci.,PA,11690,Private,6,5,0.819,0.372,1664,1042,5062,600,0.48,12.9,8028,0.68,489
Point Park College,PA,9700,Private,5,5,0.85,0.278,1173,1402,4830,400,0.45,14.5,7652,0.66,490
Robert Morris College,PA,6540,Private,6,5,0.85,0.502,2621,1808,4326,500,0.58,18.5,5266,0.58,491
Saint Joseph's University,PA,12750,Private,7,6,0.795,0.387,2473,1314,6350,350,0.84,17.4,8243,0.83,492
Temple University,PA,10096,Public,7,6,0.644,0.466,14726,4666,5282,600,0.87,11.2,12231,0.45,493
Thiel College,PA,11172,Private,5,5,0.824,0.266,791,140,4958,700,0.68,11.6,9186,0.6,494
University of Pennsylvania,PA,17020,Private,10,8,0.422,0.471,9205,531,7270,500,0.95,6.3,25765,0.93,495
University of Pittsburgh-Main Campus,PA,10786,Public,7,6,0.743,0.392,13138,4289,4560,400,0.93,7.8,13789,0.66,496
University of Scranton,PA,11584,Private,8,7,0.658,0.309,3674,493,5986,650,0.83,14.1,9131,0.92,497
Ursinus College,PA,14900,Private,8,7,0.733,0.3,1131,17,5160,500,0.82,11.6,12082,0.79,498
Villanova University,PA,15925,Private,8,7,0.72,0.264,6362,1292,6507,400,0.89,13.4,10458,0.96,499
Westminster College,PA,12065,Private,7,6,0.869,0.435,1411,72,3615,430,0.62,12.5,8596,0.8,500
Wilson College,PA,11428,Private,6,6,0.778,0.354,199,676,5084,450,0.67,8.3,10291,0.67,501
York College of Pennsylvania,PA,4990,Private,7,6,0.621,0.373,2988,1726,3560,500,0.75,18.1,4509,0.99,502
Allentown Coll. of St. Francis de Sales,PA,9690,Private,7,6,0.662,0.372,1130,638,4785,600,0.6,13.3,7940,0.74,503
La Roche College,PA,8842,Private,5,4,0.889,0.576,650,819,4782,600,0.57,14.2,7022,0.52,504
Pennsylvania State Univ. Main Campus,PA,10645,Public,8,7,0.536,0.334,28938,2025,4060,512,0.77,18.1,8992,0.63,505
Clarion University of Pennsylvania,PA,7844,Public,5,5,0.911,0.476,4828,605,2924,550,0.61,19.2,5556,0.63,506
Brown University,RI,19528,Private,10,9,0.257,0.451,5643,349,5926,720,0.99,7.6,20440,0.97,507
Bryant College,RI,12600,Private,7,5,0.813,0.354,2556,1004,6410,500,0.84,19,8353,0.82,508
Providence College,RI,14400,Private,7,6,0.651,0.291,3717,1358,6200,450,0.66,18.4,8135,0.96,509
Salve Regina University,RI,14200,Private,6,5,0.852,0.288,1393,278,6500,500,0.64,9.6,9232,0.71,510
University of Rhode Island,RI,10330,Public,7,5,0.804,0.254,8894,2456,5558,500,0.84,16.6,9158,0.63,511
Roger Williams University,RI,12520,Private,6,5,0.849,0.242,2111,1489,6050,500,0.44,16.4,7957,0.61,512
Charleston Southern University,SC,7730,Private,6,6,0.754,0.439,1533,734,3170,750,0.6,19.2,5825,0.39,513
Central Wesleyan College,SC,8300,Private,5,4,0.839,0.603,1047,33,3080,600,0.62,15.2,3365,0.58,514
Clemson University,SC,8116,Public,8,6,0.652,0.438,11755,770,3610,800,0.82,18,7597,0.73,515
Coker College,SC,9888,Private,6,5,0.748,0.653,690,222,4502,400,0.64,12.1,8741,0.75,516
College of Charleston,SC,6120,Public,7,6,0.658,0.403,6851,1200,3460,666,0.73,17.2,4776,0.51,517
Columbia College,SC,10425,Private,6,5,0.833,0.394,968,237,3975,500,0.61,14.7,8693,0.76,518
Erskine College,SC,10485,Private,7,6,0.845,0.3,532,35,3840,475,0.76,13.5,7527,0.67,519
Furman University,SC,13440,Private,8,7,0.903,0.351,2371,175,4048,600,0.92,13.5,12940,0.82,520
Lander University,SC,4938,Public,6,5,0.865,0.505,2074,341,2987,528,0.67,17,6119,0.51,521
Newberry College,SC,10194,Private,6,5,0.828,0.213,601,36,2600,500,0.57,11.4,5788,0.83,522
Presbyterian College,SC,11859,Private,8,7,0.769,0.363,1133,30,3635,554,0.8,13.4,8354,0.85,523
University of South Carolina at Columbia,SC,8074,Public,7,6,0.756,0.4,12594,3661,3522,495,0.84,16.9,8246,0.63,524
University of South Carolina at Aiken,SC,5800,Public,6,5,0.66,0.673,1855,1412,3066,500,0.62,14.8,5035,0.48,525
Voorhees College,SC,4450,Private,3,3,0.687,0.187,703,20,2522,500,0.43,22.9,5861,0.58,526
Winthrop University,SC,6400,Public,7,6,0.778,0.426,3395,670,3392,580,0.71,12.8,6729,0.59,527
Wofford College,SC,12680,Private,8,7,0.623,0.292,1059,34,4150,605,0.91,15.3,7875,0.75,528
Francis Marion University,SC,5840,Public,5,4,0.919,0.495,3224,436,3138,400,0.76,19.1,5039,0.43,529
Belmont University,TN,7800,Private,7,6,0.798,0.494,1964,623,3664,650,0.61,11.1,7614,0.49,530
Christian Brothers University,TN,9300,Private,7,6,0.591,0.431,1068,364,3260,600,0.81,11.1,8129,0.63,531
David Lipscomb University,TN,5775,Private,7,6,0.915,0.539,1957,343,3340,500,0.97,16.2,8048,0.73,532
East Tennessee State University,TN,5800,Public,6,5,0.82,0.477,6706,2640,3000,600,0.73,14,9825,0.42,533
Freed-Hardeman University,TN,5500,Private,6,6,0.612,0.573,1174,50,3340,600,0.68,16.1,6078,0.62,534
Lee College,TN,4788,Private,6,6,0.765,0.91,1831,180,3320,500,0.42,18.5,4914,0.52,535
Maryville College,TN,11200,Private,7,5,0.607,0.198,624,128,4208,500,0.8,11.1,8317,0.51,536
Middle Tennessee State University,TN,5550,Public,7,5,0.746,0.623,12541,2885,2352,500,0.69,19.2,4902,0.39,537
Tennessee Wesleyan College,TN,7070,Private,5,4,0.784,0.544,402,237,3640,400,0.59,8.9,6286,0.36,538
Tusculum College,TN,7700,Private,5,4,0.594,0.39,983,40,3400,450,0.7,21.9,4933,0.52,539
University of Tennessee at Knoxville,TN,5764,Public,7,6,0.719,0.561,15749,3237,3262,750,0.86,16.5,8612,0.53,540
University of the South,TN,15350,Private,9,8,0.669,0.337,1129,24,4080,450,0.89,10.3,18784,0.82,541
Vanderbilt University,TN,17865,Private,9,8,0.602,0.32,5500,90,6525,630,0.93,5.8,23850,0.83,542
Angelo State University,TX,5130,Public,7,5,0.565,0.508,4190,1512,3592,500,0.6,23.1,4010,0.34,543
Austin College,TX,11280,Private,8,6,0.842,0.37,1120,15,4342,400,0.81,13,11361,0.71,544
Concordia Lutheran College,TX,6900,Private,6,5,0.931,0.491,534,172,3800,450,0.67,12.1,6875,0.42,545
Dallas Baptist University,TX,5400,Private,6,5,0.872,0.494,848,1542,3270,500,0.48,14.4,7081,0.87,546
East Texas State University,TX,5390,Public,6,5,0.649,0.499,4129,1343,3380,810,0.87,21.8,5073,0.35,547
Hardin-Simmons University,TX,6300,Private,7,6,0.908,0.825,1365,334,2980,700,0.75,13.7,7054,0.38,548
Howard Payne University,TX,5190,Private,6,5,0.88,0.709,1201,214,2992,400,0.59,12.7,5684,0.37,549
Houston Baptist University,TX,5400,Private,6,5,0.799,0.652,1247,430,2340,600,0.65,14,5438,0.56,550
Incarnate Word College,TX,8840,Private,6,5,0.797,0.416,1685,556,4689,750,0.67,11.4,6095,0.95,551
Lamar University,TX,4752,Public,6,5,0.738,0.605,5438,4058,3040,508,0.48,18.4,5879,0.26,552
LeTourneau University,TX,8840,Private,8,6,0.874,0.489,1532,77,4240,600,0.58,20.8,6863,0.56,553
McMurry University,TX,6930,Private,7,5,0.711,0.455,880,477,3452,400,0.57,11,6383,0.32,554
University of North Texas,TX,4104,Public,7,6,0.62,0.749,14047,5134,3579,450,0.86,22.6,5657,0.35,555
Our Lady of the Lake University,TX,8530,Private,5,5,0.579,0.221,1202,942,3644,616,0.56,14.9,7114,0.37,556
Schreiner College,TX,8955,Private,6,5,0.707,0.317,521,99,5900,500,0.51,11.8,8545,0.52,557
Southwest Texas State University,TX,4860,Public,6,5,0.623,0.455,13806,4277,3676,500,0.7,21.2,4056,0.39,558
Southwestern Adventist College,TX,7536,Private,5,4,0.991,0.541,620,280,3736,430,0.44,13,5309,0.36,559
Southwestern University,TX,11850,Private,8,7,0.733,0.386,1177,43,4675,600,0.83,11.3,12995,0.67,560
St. Edward's University,TX,9428,Private,6,5,0.796,0.371,1732,936,4070,600,0.76,15.7,7037,0.46,561
St. Mary's University of San Antonio,TX,8678,Private,7,6,0.821,0.406,2149,418,3858,700,0.82,16.2,7651,0.72,562
Stephen F. Austin State University,TX,4860,Public,6,6,0.76,0.509,9851,1289,3610,200,0.85,21.4,3997,0.5,563
Prairie View A. and M. University,TX,4290,Public,4,3,0.929,0.475,4564,448,3500,598,0.55,19.4,5967,0.35,564
Tarleton State University,TX,4860,Public,5,4,0.916,0.843,4856,724,2784,1000,0.6,21.9,4242,0.41,565
Texas College,TX,3605,Private,3,2,0.744,1,503,40,2430,300,0.37,18.4,4800,0.26,566
Texas Lutheran College,TX,7850,Private,6,5,0.851,0.508,895,429,3410,490,0.54,13.8,7002,0.5,567
Texas Southern University,TX,7860,Public,4,5,0.747,0.802,5584,3101,3360,600,0.65,18.2,3605,0.1,568
Texas Tech University,TX,4860,Public,7,6,0.797,0.585,16785,2780,3688,530,0.82,24.7,5449,0.41,569
Texas Wesleyan University,TX,6400,Private,5,5,0.846,0.557,1204,392,3484,600,0.8,14.5,7936,0.43,570
Trinity University,TX,12240,Private,9,8,0.75,0.331,2110,95,5150,500,0.94,9.6,14703,0.93,571
University of Dallas,TX,10760,Private,8,8,0.863,0.418,1058,73,6230,500,0.85,13.4,8731,0.63,572
University of St. Thomas,TX,8550,Private,8,7,0.749,0.661,995,408,4050,500,0.75,12.6,7237,0.62,573
University of Texas at Arlington,TX,4422,Public,7,5,0.78,0.566,10975,8431,2780,500,0.73,21,4696,0.29,574
University of Texas at Austin,TX,5130,Public,9,7,0.649,0.557,30017,5189,3309,650,0.91,19.7,7837,0.65,575
Wayland Baptist University,TX,5100,Private,6,5,0.854,0.907,829,1817,2791,600,0.5,13.6,6271,0.91,576
West Texas A&M University,TX,4104,Public,6,5,0.772,0.679,4111,1301,2706,500,0.7,21.9,4717,0.34,577
University of Texas at San Antonio,TX,4104,Public,6,5,0.735,0.544,9375,5457,5376,452,0.94,25.3,4329,0.5,578
Texas A&M Univ. at College Station,TX,5130,Public,8,6,0.727,0.608,31643,2798,3412,600,0.89,23.1,8471,0.69,579
University of Utah,UT,6857,Public,7,6,0.881,0.534,13894,8374,3975,858,0.89,12.8,9275,0.37,580
Averett College,VA,9925,Private,6,5,0.887,0.309,777,538,4135,750,0.59,22.4,6523,0.48,581
Bluefield College,VA,7150,Private,5,4,0.95,0.506,653,129,4350,450,0.61,17.8,6259,0.53,582
College of William and Mary,VA,11720,Public,9,9,0.436,0.392,5186,134,4298,600,0.89,12.1,9534,0.93,583
Christopher Newport University,VA,7860,Public,5,5,0.867,0.559,2910,1749,4750,525,0.8,21.2,4639,0.48,584
Emory & Henry College,VA,8578,Private,6,5,0.844,0.35,809,32,4408,700,0.79,13.9,8061,0.82,585
Ferrum College,VA,9400,Private,5,4,0.827,0.304,1051,82,4200,500,0.53,12.5,7967,0.22,586
Hampden - Sydney College,VA,13218,Private,8,7,0.788,0.477,945,1,4773,660,0.95,13.3,12263,0.69,587
Hampton University,VA,7161,Private,6,5,0.523,0.382,4623,740,3518,600,0.6,14,6791,0.7,588
Hollins College,VA,13470,Private,7,7,0.827,0.432,795,74,5515,500,0.78,11.1,13957,0.72,589
Longwood College,VA,7920,Public,6,6,0.681,0.387,2874,118,3962,550,0.74,18.4,5553,0.62,590
James Madison University,VA,7994,Public,8,7,0.471,0.394,9652,742,4544,500,0.77,17.9,5212,0.98,591
Mary Baldwin College,VA,11200,Private,6,6,0.884,0.451,846,377,7400,600,0.66,6.8,10819,0.9,592
Marymount University,VA,11390,Private,6,5,0.82,0.277,1247,776,5280,500,0.77,10.6,8575,0.55,593
Old Dominion University,VA,9464,Public,6,5,0.681,0.402,8346,2501,4540,600,0.79,15.1,6727,0.45,594
Radford University,VA,6684,Public,6,6,0.858,0.356,8077,472,4110,500,0.73,19.6,4519,0.62,595
Randolph-Macon College,VA,13840,Private,7,6,0.748,0.231,1071,27,3735,400,0.77,10.7,11080,0.74,596
Randolph-Macon Woman's College,VA,13970,Private,7,7,0.885,0.274,653,56,6110,370,0.88,9.2,16358,0.68,597
Virginia Commonwealth University,VA,10217,Public,6,5,0.705,0.448,10262,5065,4182,500,0.81,8.7,11183,0.45,598
Roanoke College,VA,13425,Private,7,6,0.804,0.244,1460,239,4425,450,0.85,13,9405,0.72,599
Shenandoah University,VA,10700,Private,6,5,0.758,0.352,868,247,4500,450,0.6,9.2,9471,0.59,600
Sweet Briar College,VA,14500,Private,7,7,0.87,0.363,527,41,6000,500,0.91,6.5,18953,0.61,601
Clinch Valley Coll. of  the Univ. of Virginia,VA,7168,Public,5,5,0.814,0.446,1125,422,3689,600,0.67,18.1,4417,0.46,602
Virginia Union University,VA,7384,Private,3,3,0.872,0.281,1298,67,3494,500,0.51,13.7,6757,0.3,603
Christendom College,VA,8730,Private,8,8,0.889,0.708,139,3,3600,400,0.92,9.3,10922,0.58,604
Bennington College,VT,21700,Private,8,8,0.63,0.349,457,2,4100,600,0.35,10.1,16364,0.55,605
Castleton State College,VT,7656,Public,6,5,0.748,0.386,1547,294,4690,400,0.89,14.7,6318,0.79,606
College of St. Joseph,VT,8300,Private,4,5,0.837,0.466,201,173,4850,450,0.53,9.5,6936,0.76,607
Green Mountain College,VT,11750,Private,5,5,0.805,0.315,545,42,2700,400,0.77,14,6475,0.76,608
Johnson State College,VT,7656,Public,5,5,0.803,0.417,1224,345,4690,500,0.8,14.4,6564,0.36,609
Marlboro College,VT,18375,Private,7,8,0.698,0.337,260,11,6075,300,0.56,7.5,11767,0.61,610
Saint Michael's College,VT,13030,Private,7,6,0.723,0.336,1715,106,5860,500,0.79,14.5,10190,0.84,611
Trinity College,VT,11010,Private,5,5,0.833,0.492,484,541,5208,550,0.58,10.4,9586,0.78,612
University of Vermont,VT,15516,Public,8,6,0.784,0.289,7353,1674,4928,500,0.87,9.9,12646,0.79,613
Eastern Washington University,WA,7974,Public,5,4,0.855,0.402,6561,559,3914,687,0.69,17,7451,0.47,614
Gonzaga University,WA,13000,Private,7,6,0.808,0.345,2523,296,4450,600,0.78,14.7,9553,0.69,615
Pacific Lutheran University,WA,13312,Private,7,6,0.868,0.362,2580,302,4488,600,0.78,11,9431,0.83,616
Seattle Pacific University,WA,12669,Private,6,6,0.859,0.405,1922,704,4875,600,0.83,16.8,10368,0.66,617
Seattle University,WA,12825,Private,7,6,0.728,0.321,2993,347,4375,500,0.85,12.2,10175,0.89,618
St. Martin's College,WA,11550,Private,6,6,0.864,0.382,494,574,4270,300,0.43,14.5,9209,0.4,619
University of Puget Sound,WA,16230,Private,8,7,0.699,0.243,2738,138,4500,630,0.79,15,11217,0.63,620
Western Washington University,WA,8124,Public,7,6,0.642,0.435,8909,506,4144,639,0.83,22.7,7203,0.61,621
Whitman College,WA,16670,Private,9,8,0.536,0.36,1220,46,4900,750,0.8,10.5,13198,0.72,622
Whitworth College,WA,12660,Private,7,6,0.826,0.402,1270,160,4500,678,0.8,16.9,8328,0.8,623
Evergreen State College,WA,6297,Public,7,7,0.611,0.398,3065,363,4600,600,0.75,18.1,8355,0.68,624
Beloit College,WI,16304,Private,8,7,0.699,0.308,1085,81,3616,355,0.87,11.1,12957,0.69,625
Carthage College,WI,13125,Private,7,6,0.883,0.304,1405,580,3775,500,0.74,15.9,7364,0.62,626
Marquette University,WI,11610,Private,8,6,0.893,0.366,7016,804,4760,600,0.86,13.5,9982,0.77,627
Mount Mary College,WI,8950,Private,7,7,0.923,0.558,931,487,3119,550,0.51,10.7,7016,0.78,628
Northland College,WI,9570,Private,6,6,0.884,0.249,726,61,3750,350,0.58,15.9,7774,0.52,629
Ripon College,WI,15200,Private,8,7,0.853,0.421,735,28,4100,350,0.87,9.4,12472,0.64,630
St. Norbert College,WI,12140,Private,9,8,0.932,0.457,1946,95,4450,425,0.74,15.1,8595,0.88,631
Univ. of Wisconsin at Eau Claire,WI,6996,Public,7,6,0.789,0.433,8516,1264,2705,279,0.8,19.3,6139,0.61,632
Alderson-Broaddus College,WV,10468,Private,5,4,0.856,0.345,799,78,3380,660,0.4,11.5,8991,0.52,633
Bethany College,WV,15700,Private,6,5,0.776,0.408,712,10,5750,400,0.8,13,10941,0.59,634
Davis & Elkins College,WV,9400,Private,5,4,0.797,0.365,754,187,4450,400,0.64,12.8,8813,0.94,635
Marshall University,WV,5094,Private,6,6,0.867,0.547,7703,2339,4010,700,0.77,16.6,6203,0.5,636
University of Charleston,WV,9500,Private,7,5,0.784,0.381,771,611,3540,400,0.26,2.5,7683,0.57,637
Shepherd College,WV,4694,Private,6,5,0.831,0.477,2452,1113,3890,700,0.57,16.5,3485,0.46,638
West Virginia Wesleyan College,WV,14200,Private,6,5,0.894,0.345,1509,170,3775,450,0.58,16.4,8080,0.67,639
Wheeling Jesuit College,WV,10500,Private,6,5,0.836,0.282,971,305,4545,600,0.66,14.1,7494,0.72,640
